Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
117	1	640.000561, 360.000120	0.000012, 0.000004	0.000120, 0.000088
117	2	793.307687, 487.850038	-1.013713, 1.217313	-0.000097, -0.000080
117	3	941.216360, 467.550788	-0.420459, 1.177829	-0.000023, -0.000008
118	1	640.000570, 360.000123	0.000012, 0.000004	0.000119, 0.000089
118	2	792.541982, 488.758502	-1.020940, 1.211286	-0.000096, -0.000080
118	3	940.898427, 468.433235	-0.423911, 1.176596	-0.000023, -0.000008
119	1	640.000579, 360.000126	0.000012, 0.000004	0.000119, 0.000089
119	2	791.770884, 489.662414	-1.028131, 1.205216	-0.000096, -0.000081
119	3	940.577907, 469.314750	-0.427360, 1.175354	-0.000023, -0.000008
120	1	640.000589, 360.000129	0.000013, 0.000004	0.000118, 0.000090
120	2	790.994419, 490.561742	-1.035286, 1.199103	-0.000095, -0.000082
120	3	940.254803, 470.195326	-0.430805, 1.174101	-0.000023, -0.000008
