Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
108	1	640.000835, 360.000221	0.000015, 0.000006	0.000000, 0.000000
108	2	770.622210, 510.662793	-1.196793, 1.040454	-0.008312, -0.009435
108	3	931.662999, 491.026592	-0.512473, 1.141231	-0.004469, -0.001987
109	1	640.000850, 360.000227	0.000015, 0.000006	0.000000, 0.000000
109	2	769.417180, 511.693745	-1.205030, 1.030952	-0.008237, -0.009501
109	3	931.146064, 492.165819	-0.516935, 1.139227	-0.004461, -0.002004
110	1	640.000865, 360.000233	0.000015, 0.000006	0.000000, 0.000000
110	2	768.203988, 512.715131	-1.213192, 1.021385	-0.008162, -0.009567
110	3	930.624675, 493.303025	-0.521388, 1.137206	-0.004454, -0.002022
111	1	640.000880, 360.000239	0.000015, 0.000006	0.000000, 0.000000
111	2	766.982710, 513.726884	-1.221278, 1.011753	-0.008086, -0.009632
111	3	930.098841, 494.438191	-0.525834, 1.135167	-0.004446, -0.002039
112	1	640.000895, 360.000246	0.000015, 0.000006	0.000000, 0.000000
112	2	765.753423, 514.728941	-1.229287, 1.002057	-0.008009, -0.009696
112	3	929.568569, 495.571302	-0.530272, 1.133110	-0.004438, -0.002056
113	1	640.000910, 360.000252	0.000015, 0.000006	0.000000, 0.000000
113	2	764.516203, 515.721238	-1.237220, 0.992297	-0.007932, -0.009760
113	3	929.033868, 496.702338	-0.534702, 1.131036	-0.004430, -0.002074
114	1	640.000925, 360.000259	0.000015, 0.000007	0.000000, 0.000000
114	2	763.271129, 516.703712	-1.245074, 0.982473	-0.007855, -0.009823
114	3	928.494744, 497.831283	-0.539123, 1.128945	-0.004422, -0.002091
115	1	640.000940, 360.000265	0.000015, 0.000007	0.000000, 0.000000
115	2	762.018278, 517.676299	-1.252851, 0.972587	-0.007777, -0.009886
115	3	927.951208, 498.958120	-0.543537, 1.126837	-0.004413, -0.002108
116	1	640.000955, 360.000272	0.000015, 0.000007	0.000000, 0.000000
116	2	760.757729, 518.638939	-1.260549, 0.962640	-0.007698, -0.009948
116	3	927.403265, 500.082831	-0.547942, 1.124711	-0.004405, -0.002126
117	1	640.000971, 360.000279	0.000015, 0.000007	0.000000, 0.000000
117	2	759.489561, 519.591569	-1.268168, 0.952630	-0.007619, -0.010009
117	3	926.850926, 501.205399	-0.552339, 1.122568	-0.004397, -0.002143
118	1	640.000986, 360.000286	0.000016, 0.000007	0.000000, 0.000000
118	2	758.213854, 520.534130	-1.275707, 0.942561	-0.007539, -0.010070
118	3	926.294199, 502.325807	-0.556728, 1.120408	-0.004389, -0.002160
119	1	640.001002, 360.000293	0.000016, 0.000007	0.000000, 0.000000
119	2	756.930687, 521.466560	-1.283167, 0.932431	-0.007459, -0.010130
119	3	925.733091, 503.444037	-0.561108, 1.118230	-0.004380, -0.002177
120	1	640.001018, 360.000301	0.000016, 0.000007	0.000000, 0.000000
120	2	755.640142, 522.388801	-1.290545, 0.922241	-0.007379, -0.010189
120	3	925.167612, 504.560073	-0.565479, 1.116036	-0.004372, -0.002195
